charts-service |192.168.0.101 |2023-11-28 11:19:31.294 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.296 |  WARN | pool-1-thread-1 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.303 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.304 |  WARN | pool-1-thread-1 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.310 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.311 |  WARN | pool-1-thread-1 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.317 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.318 |  WARN | pool-1-thread-1 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.324 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.326 |  WARN | pool-1-thread-1 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.336 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.338 |  WARN | pool-1-thread-1 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.344 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.346 |  WARN | pool-1-thread-1 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
